model,start_step,cutoff_step,fit_points,start_epoch,cutoff_epoch,rmse,projected_val_dfm_ce_at_epoch_100,parameters_json,scenario,holdout_start_step,holdout_end_step,holdout_points,holdout_mae,holdout_bias
exponential_to_floor,180000,255000,17,51.49600780375014,73.17309151342172,0.0037486063092371596,4.431371786100292,"[4.414692791257373, 0.34469351539531723, 0.0605701105426561]","stable-phase, before deterioration",,,,,
power_law_to_floor,180000,255000,17,51.49600780375014,73.17309151342172,0.003959333750183231,4.414170463168678,"[4.34898362029725, 13659.80291011117, 2.6606422426939798]","stable-phase, before deterioration",,,,,
exponential_to_floor,200000,255000,13,57.27656345966256,73.17309151342172,0.0035106126548032617,4.450660931497914,"[4.44298206437823, 0.3398448080266687, 0.0758003408121019]","stable-phase, before deterioration",,,,,
power_law_to_floor,200000,255000,13,57.27656345966256,73.17309151342172,0.00352000773687383,4.44015994541591,"[4.4139547707832545, 1365276.1735483462, 3.8584167264431]","stable-phase, before deterioration",,,,,
exponential_to_floor,180000,265000,19,51.49600780375014,76.06336934137794,0.010770350594870123,4.477916870554202,"[4.474019391650839, 0.2971648589409556, 0.08667914312681031]",tail-inclusive,,,,,
power_law_to_floor,180000,265000,19,51.49600780375014,76.06336934137794,0.011185313345869693,4.4664485866106585,"[4.449490016111914, 5581017.878229345, 4.258662086289116]",tail-inclusive,,,,,
exponential_to_floor,200000,265000,15,57.27656345966256,76.06336934137794,0.010424031195654689,4.499198514732871,"[4.4987323984109375, 0.3855140147514694, 0.13435795210406912]",tail-inclusive,,,,,
power_law_to_floor,200000,265000,15,57.27656345966256,76.06336934137794,0.011425423446211008,4.472703558386169,"[4.461898907177715, 99999999.8274489, 4.983194623765263]",tail-inclusive,,,,,
exponential_to_floor,180000,230000,12,51.49600780375014,65.9473969435312,0.0037510327490356855,4.421877798364428,"[4.400571191424567, 0.35676942157504327, 0.0563614497116316]",holdout backtest,235000,255000,5,0.003937064235069699,-0.0005570470797465532
power_law_to_floor,180000,230000,12,51.49600780375014,65.9473969435312,0.003860944475841534,4.395321919331841,"[4.297673986886177, 2906.539931392914, 2.2368566208556295]",holdout backtest,235000,255000,5,0.005025796303411667,-0.002389741369460907
